Filename,Keywords
SP,"jmaxp,do_not_allocate_arrays_with_dynamic_memory_and_as_single_dimension,defined,wm1,xxcon5,t_xsolve,exact_solution,jmax,xxcon1,xxcon4,imaxp,lhsp,t_zsolve,z_solve,class_npb,xxcon3,error_norm,x_solve,vm1,t_add,dnzm1,tz1,define,problem_size,add,t_rdis1,wp1,t_rhsx,imax,lhsm,xxcon2,t_ysolve,adding,rhs_norm,j1,c2dttz1,dttz1,components,j2,dz1tz1,code,t_rhs,c2dttx1,compute_rhs,compiled,set_constants,parameters,tz3,y_solve,dz5tz1,t_txinvr,jp1,compiletime,con16,t_rdis2,tmax,dz4tz1,prototypes,yycon5,solution,t_tzetar,mflops,dnxm1,conz1,dy5ty1,12x12x12,problem,t_total,dz5,con43,include,solve,dy3ty1,computation,im1,conditions,yycon4,dy4ty1,c5dssp,dz4,t_rhsz,dz3tz1,rhsx,dz3,jm1,addition,dttz2,comz5,dx5tx1,systems,dx1tx1,comz4,c4dssp,algorithm,dx4tx1,dx3tx1,dzmax,dy5,dz2tz1,102x102x102,zzcon5,dtty1,1020x1020x1020,yycon3,tz2,yycon1,zzcon1,comz6,t3,redist2,dttx1,lhs,compilerversion,redist1,kmax,dy1ty1,162x162x162,t_rhsy,dtdssp,xcr,dx2tx1,dx1,3d,zzcon4,dz1,dy1,npbparams,inputsp,dy4,t_ninvr,dttx2,dy2ty1,t1,class,dnym1,function,compute,dy3,t_pinvr,tx1,using,exact_rhs,dx5,rho_inv,xsolve,zzcon3,setting,2d,dtty2,dx4,c2dtty1,4dx,sub,rms,ru1,1d,r5,tx3,kp1,comz1,n3,dz2,dx3,dxmax,set,nx2,5d,reference,t2,c1c5,rho_i,dy2,dt_default,km1,vp1,ww,36x36x36,i1,rhs,lf,r4,4d,iterations,cs5,ty3,initializes,r1,factorization,dx2,tx2,npbversion,provided,c5,xcedif,c3c4ty3,fac2,c3c4tx3,section,c4,xcrref,162,defaults,ix,c2iv,dymax,zzcon2,u_exact,yycon2,i2,cs4,boundaries,complete,ws,grids,cs1,btuz,c3c4tz3,field,xvel,3f,408x408x408,25,cs3,c2,serial,k1,error,grid_points,c1,r3,elements,entries,um1,grid,qs,int,niter_default,interpolated,5e,linear,cs2,xcrdif,computes,c3,initialize,c3c4,norms,nz2,routine,variables,ty2,ty1,0e,05,exists,pface,dtpp,nonzero,step,fluxes,cs6,174,version,gridsize,dssp,substitution,c1345,flux,ip1,txinvr,processor,36,initializing,bit,interpolation,mode,zsolve,element,pxi,simple,1495317020012e,ny2,term,c1c2,failure,xceref,boundary,20,2f,density,based,yvel,ysolve,separately,fac1,0d,variable,epsilon,elimination,including,used,64,peta,4806073419454e,rhoq,1022827905670e,hpp,t_names,vv,12,k2,3293829191851e,endif,11,6f,norm,reinitialize,r2,sizeof,multiplication,xi,values,uzik1,remaining,64x64x64,1083734951938e,t_last,1717075447775e,dtemp,transfinite,kinetic,13,level,6235745065095532e,static,2598120500183e,steps,14,file,eigenvalue,rhsz,lines,data,10,need,make,1720597911692e,forcing,factors,102,xce,7588412036136e,03,rhos,dt,main,no_time_steps,simultaneously,fp,global,void,npb,available,computed,1049092285688e,5881691581829e,timer_start,convenient,point,matrix,uijk,1292113035138280,sqrt,11484,bt,02,1893253733584e,13e,c_print_results,3143611161242e,1020,1694479428231e,thomas,15,5323514855894e,cases,forward,tzetar,9810006190188e,rhon,dissipation,ac,8s,04,eta,10e,starters,fclose,tri,zsol,rhsy,4177666183390531e,approximate,zvel,cpp,result,pinvr,timer_clear,total,sp,benchmarks,vijk,square,ac2u,perform,tolerance,backsubstitution,subroutine,argv,1164108338568e,01,fgetc,lhsinitj,iz,1536963126457e,cell,zeta,unknown,block,residuals,4217816211695179,00,argc,4648680733032e,3621613399213001e,direction,failed,5132886416320e,value,face,exact,energy,3081924971891e,1212845639773e,common,residual,secs,sizes,1575330146156e,0364446640837285e,pzeta,parallel,input,ce,fourth,ue,size,vs,7343951769282091e,floating,400,timeron,4770412841218e,4849040609362460e,redist,false,1276337964368832,6512852253086e,double,100,ac2inv,output,different,7289258557377227e,difference,7470315451339479e,hand,timer_read,sign,2347595750586e,7542088599534e,west,uu,75,4238923283697e,1187051008971e,differences,niter,known,8e,50d,08,5750704994480102e,zap,overkill,test,inversion,array,5483377491301e,fscanf"
Blacksholes,"european,derivatives,analytical,calculations,optiondata,nprimex,optionprice,options,stdlib,__parsec_blackscholes,derivagem,__parsec_bench_end,__parsec_bench_begin,icc,optiontype,compute,futurevaluex,edition,source,stdio,cndf,accuracy,option,method,calculation,cumulative,optiondata_,inputx,init,2007,__parsec_roi_end,fscanf,include,calculating,reference,computed,mainwork,benchmark,xpowerterm,xnprimeofx,struct,xlocal_3,5f,calculate,based,stderr,xk2_5,xk2_3,futures,parsec,blkschlseqeuronodiv,__parsec_roi_begin,xriskfreerate,xstockprice,copyright,lpvoid,parsec_version,pricedelta,intel,bs_thread,xk2_4,xsqrttime,dgrefval,ifdef,err_chk,enable_parsec_hooks,main_initenv,outputx,multi,main,typedef,dword,input,printf,numerror,3rd,xlogterm,following,numoptions,fptype,section,suite,waitformultipleobjects,data,errors,3mos,pragma,std,function,precision,scholes,64,319381530,risk,prentice,main_env,xlocal,fprintf,xlocal_2,__threadp,__parsec_xstring,xlocal_1,xk2,xstrikeprice,lib,affinity_partitioner,int,expvalues,inputfile,version,distribution,4305,6mos,d2,inv_sqrt_2xpi,fclose,alloc,tbb,prices,sptprice,equation,xvolatility,omp_set_num_threads,xk2_2,const,11,nofxd1,1e,add,hall,nofxd2,d1,task_scheduler_init,range,error,unsigned,loopnum,header,winapi,4244,otype,type,ref,divq,xd2,serial,buffer2,math,price,18f,2316419,test,endif,xd1,pthreads,enable_tbb,otime,compatible,omp,malloc,volatility,sqrt,nthreads,781477937,dividend,parallel_for,outputfile,value,xden,8000000,check,rate,common,num,rv,sizeof,vals,negnofxd1,__thread,divs,using,negnofxd2,fopen,buffer,output,356563782,win32,256,use,25,nums,atoi,read,pthread,argc,decimal,maturity,wait_for_end,821255978,undef,char,years,used,__parsec_string,handle,end,number,argv,operator,fflush,1yr,working,defined,spot,39894228040143270286,243,variables,tid_ptr,parallel,size,corp,330274429,float,reducing,local,file,doall,num_runs,unable,work,logvalues,black,enable_threads,tid,line,true,244,match,create_with_arg,calcs,calling,write,linesize,spaces,blocked_range,usage,hooks,exit,delta,split,sign,john,openmp,begin,xinput,namespace,threads,expiration,hull,void,long,createthread,free,xtime,private,timet,start,infinite,term,pad,open,warning,log,define,100,return,close,exp,tick_count,tids,normal,threaded,windows,time,enable_openmp,runs,strike,fabs,disable,string,negative,null"
Kmeans,"include,containing,numattributes,stdlib,types,format,o_rdonly,unistd,wtime,fgets,usage,following,eof,infile,file,continue,omp_get_wtime,threads,fclose,limits,omp,sizeof,nloops,isbinaryfile,stdio,attributes,fopen,error,fcntl,allocate,attribute,printf,ignore,numobjects,stderr,argv0,txt,optarg,nclusters,line,main,input,read,int,opt,clusters,binary,open,fprintf,2f,objects,1024,break,cluster,argc,optind,clustered,help,cluster_centres,extern,memcpy,void,sys,filename,output,buf,argv,string,default,completed,strtok,atoi,getopt,process,malloc,001,id,char,free,arribute,getenv,double,atof,kmeans,close,threshold,null,data,space,rewind,number,0600,float,exit,case,value,centers,math,switch,return,switches,time,timing"
Lud,"version,suite,gcc,wrapper,compiler,end,file,stdlib,lud_omp,description,include,filename,32,liang,lf,uva,main,stdio,unistd,optarg,func_ret_t,error,break,fprintf,specified,omp_num_threads,val,const,cs,revision,exit_failure,exit,creating,struct,printf,char,company,argc,08,int,optind,stderr,34,default,lw2aw,supported,author,void,exit_success,currently,create,argv,created,use,matrix_dim,2009,long_options,invalid,ms,lud_verify,22,atoi,missing,pm,print_matrix,option,ret,free,internally,threads,mm,reading,input_file,extern,usage,create_matrix_from_file,10,virginia,edu,lud,matrix,getopt_long,static,create_matrix,instead,matrix_size,common,getopt,has_arg,opt,vs,size,stopwatch_start,generate,switch,verify,input,assert,function,null,do_verify,stopwatch_stop,option_index,time,ret_success,matrix_duplicate,sw,40,argument,case,stopwatch,wang,get_interval_by_sec,float,consumed,flag,1000,return"
Bfs-rodinia,"omp_set_num_threads,num_omp_threads,no_of_edges,no_of_nodes,omp_offload,struct,num_threads,code,num_thread,stdlib,structure,input_file,open,input_f,omp_get_wtime,file,omp,using,stored,int,include,printf,fpo,fclose,bool,program,string,h_graph_edges,define,ifdef,h_graph_nodes,fscanf,thread,node,lf,edge_list_size,void,h_updating_graph_mask,txt,fopen,fp,endif,fprintf,loop,read,hold,unsigned,argc,stdio,error,h_graph_mask,argv,source,h_graph_visited,compute,bfs,memory,char,sizeof,set,stderr,usage,id,data,target,initalize,end_time,atoi,pragma,reading,apply,allocate,line,value,starting,start,edgeno,stop,free,tesing,map,bfsgraph,start_time,main,graph,stops,false,exit,return,information,tree,malloc,h_cost,host,cuda,parallel,tid,result,mask,store,true,cleanup,mem,changes,math,traversing,double,cost,time"
Nn,"rec_length,max_args,max_dist,max_idx,latitude_pos,rec_count,target_long,tmp_long,db,dbname,struct,size,fstream,records,filelist,iostream,target_lat,cstdlib,coordinates,ofstream,record,10,latitude,rec_window,output,is_open,28,resize,tmp_lat,number,std,neighbor,neighbors,location,10000,nearest,string,define,int,vector,txt,ifstream,return,value,input,fp,omp,argv,shared,read,set,eof,argc,sqrt,49,include,parallel,flist,pragma,sscanf,atof,cmath,float,barrier,open,opening,reading,getenv,cout,double,char,entry,cerr,main,atoi,close,initial,perror,gcount,dist,error,arguments,sandbox,time,private,exit,invalid,bad"
BT,"defined,jmaxp,do_not_allocate_arrays_with_dynamic_memory_and_as_single_dimension,wm1,imaxp,jmax,xxcon1,xxcon5,define,class_npb,imax,exact_solution,code,add,error_norm,xxcon2,problem_size,xxcon4,vm1,xxcon3,dnzm1,tz1,matmul_sub,t_xsolve,c2dttz1,jp1,wp1,dttz1,x_solve,compiled,c2dttx1,binvrhs,z_solve,parameters,prototypes,im1,dz1tz1,12x12x12,con43,compiletime,t_add,set_constants,conz1,t_zsolve,include,dz5tz1,solves,con16,unpacking,solution,problem,addition,dnxm1,compilerversion,t_rdis1,c5dssp,dttz2,solve,tmax,npbparams,dzmax,dz4tz1,dz5,dx1tx1,tmp1,102x102x102,dx5tx1,comz5,kmax,tz3,dy5ty1,dttx1,dz2tz1,dx1,1020x1020x1020,dttx2,tx1,c1c5,xcr,dx2tx1,jm1,162x162x162,y_solve,zzcon1,comz6,dy3ty1,dx3tx1,zzcon5,initializes,reference,tz2,matvec_sub,t_ysolve,mflops,npbversion,dx4tx1,c4dssp,2d,kp1,vp1,dz4,function,dz3,dz3tz1,dtty1,comz4,c2dtty1,using,dz1,rhs_norm,dxmax,24x24x24,dy5,dy4ty1,lhs_vector,setting,c2iv,dx5,use,dtdssp,dy1,compute,comz1,yycon5,tx2,t_rhsx,dy2ty1,redist2,jstart,xsolve,dy1ty1,dz2,zzcon4,tmp3,sub,t_rdis2,compute_rhs,cs1,labeled,dx2,t_total,dt_default,km1,c2,generate,factoring,tmp2,dtty2,block_size,redist1,section,cs5,cs2,set,defaults,zzcon3,dy2,dnym1,boundaries,isize,dy4,initialize,dx4,dx3,c1c2,dy3,int,yycon1,grids,c5,c1,4dx,yycon4,binvcrhs,avoid_warning,zzcon2,408x408x408,iterations,linear,elements,n3,t_rhs,162,xcrref,0e,provided,ix,ip1,cblock,grid_points,c3c4ty3,tx3,ic,jc,error,initializing,c3c4tx3,cc,niter_default,gridsize,dymax,yycon3,24,routines,xcedif,25,cell_size,c4,rms,field,elimination,cs3,c3c4tz3,grid,cs4,form,interpolated,lhs,norms,element,c3,c3c4,t_rhsz,exists,serial,boundary,rhsx,um1,variables,4638531260002e,xcrdif,c1345,cs6,step,simple,term,7782212022645e,epsilon,lf,routine,4d,mode,bvec,nonzero,28023,block,ws,version,ty3,qs,250,2f,yycon2,pxi,special,b_inverse,computes,dtpp,interpolation,coeff,density,36211053051841265e,exact_rhs,substitution,ty2,dssp,rho_inv,zsolve,05,xceref,failure,20,64,bblock,u_exact,ty1,based,forcing,3f,static,indices,line,12,void,including,sizeof,64x64x64,used,level,npb,variable,bb,11,istart,flux,fluxes,norm,4e,ablock,rho_i,peta,pface,multiply,bt,2e,5646025644535285e,1089845040954e,file,main,reinitialize,transfinite,6f,elapsed_time,cpp,storing,endif,xce,t_rhsy,preload,values,6835623860116e,13,dtemp,matrix,2975252070034097e,15423530093013596e,xi,c_print_results,2346393716980e,ysolve,factors,rhs,10,make,steps,aa,determine,hpp,convenient,timer_start,4327562208414e,point,benchmarks,02,triangular,subroutine,13e,9739814511521e,inputbt,unknown,timer_clear,tolerance,sqrt,9330522590150238e,cell,3905864038618e,kstart,15,dt,2348416040525025e,begin,7765512765309e,no_time_steps,backsub_info,starters,102,200,global,8s,square,50793239190423964e,03,3478,residuals,kinetic,data,loaded,tridiagonal,parallel,face,residual,dissipation,1125590409344e,9462517622043e,total,cases,difference,computed,fp,t_names,04,6436421275166801e,kc,01,uijk,6065737200368e,eta,1180007595731e,00,ksize,overkill,1020,assumes,7034283709541311e,floating,argv,1319730901220813e,6692480136345650e,argc,5352565376030e,outer,sizes,zsol,energy,differences,1018045837718e,5195666782961927e,7379901770829278e,rhsz,4419655736008e,2533188551738e,3973765172921357e,size,37087651059694167e,sign,13302387929291190e,3821238632439731e,vs,value,secs,8d,2006925323559144e,fgetc,t_last,zeta,2485447959084092e,iz,3699051964887e,2527926989486055e,2707541254659363e,3100009377557e,null,benchmark,failed,2092419572860e,avec,exact,11497107903824313e,8e,inner,tri,08,vijk,double,2459576151035986e,ce,2424086324913e,vectors,direction,unknow,assume,test,takes,2710329767846e,fclose,root,known,common,100,vector,niter,hand,timer_read,pzeta,output,3122573342210174e,loops,62398116551764615e,false,comparison,zero,send,corner,cells,1392138856939e,timeron,treat,2467606342965e,thing,06,4390282496995698e,11604087428436455e,2638427874317e,loop,2469174937669e,pack,assumed,store,timer_stop,max"
Hotspot,"sim_time,gettimeofday,get_time,microseconds,timeval,tv_sec,tv_usec,end_time,start_time,compute_tran_temp,time,omp_set_num_threads,num_omp_threads,schedule,computing,seconds,amb_temp,tv,stdlib,threads,str_size,num_thread,transient,struct,block_size_c,temp_file,block_size_r,block_size,t_chip,__mic__,fputs,spec_heat_si,chip_width,long,static,300w,omp_offload,chunks_in_col,256,factor_chip,max_pd,001,grid_width,sprintf,fp,calloc,c_end,stderr,simulation,tstep,ambient,c_start,grid_cols,stdio,temp,typedef,power_file,tcap,memory,pfile,tmp,using,10mm,chip_height,std,grid,parallel,namespace,omp,chip,output,update,tfile,sts,inputs,output_file,printf,grid_height,format,num_chunk,0005,set,sizeof,fprintf,continue,num_iterations,current,fgets,endif,16,int,push,unable,chunk,error,package,model,iterating,offload_attribute,0e6,maximum,rx_1,str,r_end,possible,ts,sw,sscanf,k_si,routine,mic,r_start,read_input,grid_rows,open,iterations,define,fclose,main,rz_1,shared,void,ry_1,writeoutput,include,stdout,col,rx,return,file,3f,target,single_iteration,ending,016,iteration,advances,exit,array_size,chunks_in_row,free,containing,capacitance,dissipated,usage,required,size,invalid,pop,integer,const,parameters,solver,input,sys,discretized,null,opened,power,max_slope,fitting,ifndef,returns,ifdef,try,cap_1,arrays,1000,temperatures,75e6,temperature,start,result,pragma,factor,final,read,simd,precision,fopen,step,rz,solves,si,cleanup,number,ry,solution,index,total,transfer,1000000,allocate,equations,results,vim,80,single,cell,trz,et,atoi,argc,100,val,check,initial,ai,lines,vect,argv,driver,cap,feof,density,char,ofile,map,fatal,verbose,converts,rows,firstprivate,float,differential,private,reading,heat,difference,simply,edge,row,values,say,columns,degrees,validity,corner,delta,assuming,positive"
Backprop,"1994,history,university,stdio,currently,included,fcntl,shufelt,eta,oldw,sigmoid,stdlib,oct,15,allocate,che,include,eo,fclose,l1,ndelta,errsum,94,mellon,prepared,ly,fopen,shuai,new,pfile,srand,rand,nly,pragma,hid,conn,_i,malloc,modified,24,carnegie,endif,len,temporary,bpnn,fd,initzero,jeff,schedule,681,unistd,drnd,omp,nreading,int,_l,initialized,exp,abs,n1,contains,dbl,120,nh,net,unsigned,1d,err,backprop,reading,bpnn_initialize,hid_err,_to,fwrite,nj,0644,n3,error,hidden_delta,ptrs,shared,given,hidden,forward,bpnn_hidden_error,bigrnd,l2,unit,read,js,set,eh,printf,couldn,hidden_units,computations,number,memcnt,dx,n2,second,fully,n_hidden,register,thresholding,math,seed,bpnn_read,new_dw,sum,dvalue,open,bpnn_create,firstprivate,hidden_n,threshold,char,space,squashing,dpn1,bpnn_layerforward,omp_set_num_threads,bpnn_feedforward,2d,alloc_2d_dbl,automatically,alloc_1d_dbl,allocated,newnet,_from,delta_h,saving,file,function,n_in,num_thread,target,bpnn_internal_create,creates,close,bpnn_randomize_row,reduction,compute,ifdef,mem,free,input,numbers,activations,neural,bpnn_free,out_err,parallel,bpnn_output_error,bpnn_train,random,extern,fastcopy,bpnn_save,adjust,randomly,delta_o,define,inputs,units,squash,void,output,scratch,input_units,storage,static,rand_max,output_units,delta,private,momentum,fall,n_out,return,filename,bpnn_randomize_weights,floats,hidden_weights,sizeof,output_delta,network,input_n,bpnn_adjust_weights,hidden_prev_weights,layer,output_n,generator,float,connected,feed,weighted,bpnn_zero_weights,null,array,weights,input_prev_weights,input_weights"
