Filename,Keywords
PuReMD,"reax_atom,molecular,reaxff,cuda_copy_atoms_host_to_device,reax_system,cuda_copy_mpi_data_host_to_device,hip_copy_atoms_host_to_device,software,ret_pmd,hip_copy_mpi_data_host_to_device,gnu,cuda_system_props,reax_list,mpi_comm_world,reax_param,cuda_copy,copyright,cuda_copy_grid_host_to_device,config,version,cuda_evolve,avcm,rvec_scaledsum,cuda_reset_tools,rvec_scaledadd,mpi_wtick,pdb,diff,jcfogart,puremd_success,2010,cuda_reset,cuda_environment,rvec,hip_copy_grid_host_to_device,retries,gpu_device_pack,http,cuda_setup_environment,www,free,cuda_init_md,puremd_handle,purdue,comm_atoms,system_props,dynamics,cuda_print_mem_usage,atoms,org,hip_system_props,puremd,cuda_initialize,mpi_barrier,const,usf,published,cuda_compute_kinetic_energy,nve,simulation,puremd_failure,vcm,cuda_cleanup_environment,cuda_post_evolve,mpi_datatypes,fprintf,university,cuda_generate_neighbor_lists,nprocs,__file__,redistribute,cuda_forces,init_md,retrying,haktulga,program,foundation,cuda_remove_com_velocities,bgf,mpi_data,hip_copy,io_tools,fogarty,grama,distributed,have_cuda,energy_update_freq,cuda_neighbors,comm_mesh3d,simulation_data,cuda_compute_forces,modify,analysis,integrate,add,metin,stderr,smalloc,environment,details,num_retries,ported,2f,simulate,write_binary,master_node,write_pdb_file,evolve,hip_print_mem_usage,allocate,cuda_compute_center_of_mass,hip_reset_tools,hip_reset,hip_init_md,sagar,kinetic,useful,info,hip_initialize,get_atoms,hip_evolve,write_binary_restart_file,hip_compute_kinetic_energy,ananth,processes,pmd_handle,my_atoms,vector,hip_generate_neighbor_lists,licenses,include,comm_tools,cuda,enabled,static,d_workspace,rvec_cross,mpi_comm_rank,secs,hip_setup_environment,hip_compute_center_of_mass,binary_restart,compute_kinetic_energy,traj,true,translational,int,hip_environment,analyze,restart_freq,general,terms,xcm,warranty,control_params,ret,aktulga,term,hip_remove_com_velocities,hip_compute_forces,pandit,ensemble,write_ascii,post_evolve,license,mpi,edu,d_my_grid,globally,hip_cleanup_environment,cannot_initialize,ffield_file,debug,f_0,mpi_comm_size,read_pdb_file,nsteps,hasan,joseph,elif,compute_total_energy,tool_box,synchronize,setup,defined,particular,ascii_restart,error,control,initial,ayg,energy,generate,reset_tools,mass,read_config_files,hip_post_evolve,cuda_finalize,endif,unknown,synchronizing,cuda_init_block_sizes,custom,sfree,files,read_binary_restart_file,hip_forces,invalid_geo,file,public,have_hip,return,compute_center_of_mass,control_file,read_geo_file,todo,cs,compute_forces,write_restart_file,read_force_field_file,success,geo_tools,level,read_bgf,reached,second,center,option,data,compute,mail,reset,list_n,hip_neighbors,total,false,debug_focus,remove_com_vel,routine,write,bonds,deallocation,purpose,forces,restart,write_steps,mpi_abort,format,geo,temperature_control,allocation,step,merchantability,geo_file,restart_format,resolution,velocity,initialize,read,handle,t_mode,my_grid,hope,prev_steps,storage,generate_neighbor_lists,sizeof,time,geo_format,allocations,end,hip_init_block_sizes,remove,read_control_file,max_retries,allocated,hip,check_energy,excluding,callback,implied,workspace,void,rotational,lists,start,__line__,callback_function,fitness,hip_finalize,my_rank,out_control,setup_callback,get_time,timer,timing,read_restart_file,maximum,cleanup,logging,later,ffield,neighbor,char,neighbors,null,output_enabled,finalize,max_retries_reached,output_controls,output_results,clocks,terminating,cross,set_output_enabled"
MG,"parameter,parameters,t_init,implementation,static,class_npb,comm3,t3,compiletime,lt_default,rprj3,t1,t2,inhomogeneous,compiled,ie3,variables,prototypes,norm2u3,ie1,globals,adds,multigrid,functions,e3,rnm2,j1,define,j_temp,l2,ie2,j3,c_print_results,is1,n3,e0,is3,iostream,d1,rep_nrm,is2,d3,j2,npbversion,using,i3,e1,add,tmp,developed,i0,e2,d2,1c,z3,t_bench,global,nit_default,i1,benchmarks,program,include,interp,p_s,nx_default,compute,debug_vec,n2,n1,defaults,initialization,r1,0e,iteration,setup,z1,globally,use,allocated,m0,mm1,iterations,integer,i2,stack,openmp,based,mm3,a1,p_a,version,loads,lt,x1,a2,computes,3a,debug_default,cs5,cs1,npb,mg3p,applies,z2,nonzero,x2,enable,int,cs3,nz_default,mm2,3f,processor,coarsest,element,unknown,17,addition,y1,zran3,u1,benchmark,cs2,cpp,projects,fgetc,r2,mflops,current,void,data,jg,vector,grid,256,4d,y2,input,x0,m3,3d,arrays,elements,04,2a,2d,level,file,interpolation,cs4,finite,psinv,m3k,restrict,printf,verify_value,evaluates,coarse,denote,fscanf,m3j,communication,subroutine,18,m2,fp,coefficients,error,inter,15a,evaluate,routine,13,trilinear,ny_default,mg,nn,13a,argv,norms,19,3dx,m1j,m2k,loops,vectorizes,lb,14,044,21,boundaries,timer_read,15,approximations,fclose,20,main,argc,projection,approximation,20a,32,cr,cs6,zero3,cs7,handle,organizes,hpp,25,m2j,cache,null,machines,residual,12,2433365309e,verified,m1k,timer_start,sizeof,qu,14e,solution,rnmu,problem,norm,m1,183103168997d,point,common,resid,06,assumes,ai,verification,malloc,1m,64,530770700573e,dir,floating,small,tinit,nx,unused,debug,rdummy,coefficient,fopen,12a,16a,timer_clear,8s,loffjh,startup,pucrs,acad,points,coarser,line,250391406439e,535,aj,12e,10,power,read,infinity,resulting,need,args,lines,kk,br,separate,prolongate,boundary,sqrt,1024,180056440132e,assume,mm,vranlc,different,assumption,randlc,failed,löff,does,observe,dalvan,512,3m,report,0625,char,u2,case,timer_stop,314159265,note,respectively,8e,info,false,33,presuming,chosen,sort,periodic,com,cycle,information,looks,nj,nz,rprj,570674826298e,apply,parallel,best,4m,multiplication,1037,title,precision,number,charges,júnior,61,au,slightly,general,result,probably,nas,true,ind,zero,fine,58,broadcast,subtraction,candidates,reading,125,size,real,pow,temp,approximate,completed,uniform,ny,direction,return,showall,random,numbers,performance,chebyshev,shouldn,xx,epsilon,raises,seconds,double,randomly,inverse,gmail,disguised,negative,borders,smoother,exchange,large,costs,min,eighth,time,quite,boolean,eliminated,nit,weight,bubble,correction,successful,edges,exit,positive,griebler,corners,fabs,performed,better,correct,axis,quarter,40,half,passed"
Pathfinder,"pin_stats_pause,pin_stats_reset,pin_stats_dump,cycles,clamp_range,timer,macros,pathfiner,fprintf,printf,in_range,time,run,num_of_steps,temp,startcycle,stdlib,endif,m_seed,parallel,int,pragma,exit_success,data,error,ifdef,define,omp,stopcycle,cols,bench_print,delete,void,init,argc,include,long,dst,argv,stderr,exit,10,usage,stdio,new,seed,unsigned,src,lu,rows,char,max,result,atoi,fatal,rand,srand,main,assert,width,return,wall,min,private"
CG,"timer_clear,timer_read,timer_file,compiletime,timer_stop,naa,nullptr,niter,npb3,0e,timer_start,nzz,void,nn1,nzv,t_last,nzloc,na,nnza,npbversion,t_conj_grad,t_bench,define,nz,nrows,bool,t_init,int,nonzer,timer,130235054029,endl,clss,print_results,static_cast,time,nza,rho0,delete,timeron,nzrow,string,completed,iostream,seconds,cg,arrays,cgit,char,print,nzmax,pow,icnvrt,norm_temp2,close,cs3,lastcol,norm_temp1,t_names,jcol,j1,iteration,iterations,bmname,init,ifstream,setw,ipwr2,j2,break,fstream,28,13,error,benchmarks,benchmark,cs4,26,amult,set,cs1,label40,ivc,va,rcond,failed,conj_grad,21,unknown,val,1500,17,1220703125,mark,cs2,15,tmax,rnorm,aelt,iv,secs,resulting,elements,acol,continue,optype,cmath,point,fstatus,1400,tran,cs7,514532105794,309,25,class,kk,cs5,12,initialization,problem,label60,314159265,cs6,lastrow,11,22,362595087124,rho,ivelt,iouter,include,cgitmax,mflops,vecloc,conjgd,vc,712745482631,ii,double,randlc,sparse,new,52,20,verified,973605592845,vecelt,cout,522164599383,vecset,ser,l999,verification,abs,performed,10,false,total,benchmk,5971775078648,zeta_verify_value,zeta,main,floating,return,150000,sqrt,nas,scientific,makea,firstcol,fixed,sum,14000,alpha,110,7000,arow,1500000,sprnvc,internal,parallel,goto,err,77,space,duplicate,section,successful,true,9000000,size,75,ratio,beta,matrix,good,epsilon,exceeded,100,60,shift,firstrow,1000000,75000,correct,flag,std,colidx,scale,rowstr,500"
LU,"cstring,compiletime,print_results,timer_read,namespace,read_input,fstream,cs4,t_names,cs5,bool,cs3,function,setcoeff,class,iostream,cs2,t_last,t_rhsx,using,t_rhs,include,cs1,pintgr,compute,secs,input,timeron,cmath,iterations,fstatus,t_rhsz,cs6,t_rhsy,char,iteration,setbv,int,variables,endl,based,read,main,ssor,setiv,maxtime,timers,section,mflops,error,data,std,integral,rsdnm,double,set,l999,frc,npbversion,27770,nx0,time,10923,point,cout,values,verification,144010,perform,initial,lu,verified,pages,rhs,rest,total,goto,tmax,trecs,term,floating,boundary,itmax,coefficients,verify,ny0,float,errnm,sizes,nz0,test,domain,return,touch,prescribed,exact,solution,surface,1984,forcing,100,dependent,erhs,77,1000000,reset"
Nw,"pin_stats_pause,pin_stats_reset,pin_stats_dump,cycles,clamp_range,timer,macros,pathfiner,fprintf,printf,in_range,time,run,num_of_steps,temp,startcycle,stdlib,endif,m_seed,parallel,int,pragma,exit_success,data,error,ifdef,define,omp,stopcycle,cols,bench_print,delete,void,init,argc,include,long,dst,argv,stderr,exit,10,usage,stdio,new,seed,unsigned,src,lu,rows,char,max,result,atoi,fatal,rand,srand,main,assert,width,return,wall,min,private"
Myocyte,"include,embedded_fehlberg_7_8,stdlib,file,omp_set_num_threads,setup,printf,define,function,stdio,int,instances,files,use,command,stages,equations,error,main,openmp,omp,solver,master,allocate,txt,shared,print,omitted,end,parameters,sizeof,13,application,execution,line,parameter,display,fp,read,16,cam,threads,fin,12f,computation,pragma,ecc,initial,input,workload,argc,particular,simulation,argv,status,tolerance,10f,memory,total,deallocation,string,mode,long,char,run,malloc,arguments,ty,data,91,atoi,params,variables,timer,ttime,number,xmax,60,spent,time5,counters,math,arrays,xmin,float,free,different,change,numbers,time3,results,values,equal,time4,interval,80,private,time0,time2,span,40,0gb,100,decrease,time1,parallel,incorrect,time,check,get_time,trying,timing,return,myocyte,1000000,1000000000"
DC,"typedef,include,stdlib,compiled,omp_get_thread_num,types,c_lib,int32,struct,omp_get_max_threads,code,optype,parseparfile,compiletime,_openmp,uint32,file,uint64,par_view_st,c_print_results,clss,threads,class,totalofviewrows,ifdef,program,adc_view_pars,newadcviewcntl,adc_view_cntl,omp,adc_par,unix,c_inc,npbparams,stdio,pvstp,generateadc,ctype,64,endif,unistd,npb3,int,computegivengroupbys,macrodef,adccntl,cc,checksumwlo,npbversion,showadcpar,sizeof,using,stderr,defaults,cflags,numberofmadeviews,totalnumberofmadeviews,itimer,parameters,tm0,parameter,adc_ok,totalviewsizesinbytes,par,available,totalviewtuples,parp,filename,input_tuples,checksumblo,rb,700453,464620213,t_total,tm_max,totalviewfilesize,define,max_number_of_tasks,adccntlp,bin,totchs,timer_read,avp,n3,checksumwhi,parfname,fprintf,nnumber,npb,views,memorylimit,clinkflags,isdigit,3f,stdout,shared,puterrmsg,adc,adcpp,tasks,benchmarks,0f,example,retcode,string,12d,argc,clink,12e,input,timer_clear,main,blocksize,n1,warning,20,default,break,itsk,long,adcinpfilename,1024,dc,sys,nd,434318,checksumbhi,tuplenum,closeadcview,n2,argv,timer_start,char,void,errno,checksumalo,adcname,usage,ninputrecs,passed_verification,verificationfailed,mnum,pnum,pragma,checksumahi,2f,max_timers,strcpy,size,checksum,benchmark,memory,tuples,1401796,case,nm,null,timers,parrun,attrnum,atoi,7141688,free,generated,timer_stop,dim,9348365,niter,maximum,verification,malloc,parallel,argument,50,ndid,paramter,initadcpar,exit,ntasks,verified,178042,number,failed,verify,tree,checksums,estimated,double,partitioncube,math,results,nodes,private,reached,nas,switch,mops,return,critical,returned,skipped,1000000,time"
IS,"class,int_type,type,c_test_rank_array,a_test_rank_array,w_test_rank_array,total_keys,total_keys_log_2,c_lib,typedef,s_test_rank_array,code,key_array,num_buckets_log_2,b_test_rank_array,use_buckets,key_buff1,compiler,key_buff_ptr,key_buff_ptr_global,d_test_rank_array,w_test_index_array,a_test_index_array,c_test_index_array,define,test_rank_array,values,s_test_index_array,num_buckets,b_test_index_array,initialize,num_keys,key_buff_ptr2,stdlib,d_test_index_array,gen,key_rank,key_buff2,c_inc,max_key,max_key_log_2,procs,test_index_array,partial_verify_vals,max_iterations,npbparams,initialization,test_array_size,benchmarks,ifndef,use,full_verify,optype,section,ifdef,c_print_results,1l,ranks,n1,default,include,int,function,data,sequence,compiletime,compute,size_of_buffers,main,initial,ld,npbversion,a1,set,variables,npb,create_seq,benchmarking,t_total,pointers,rank,iteration,iterations,benchmark,11,prototypes,static,cc,10,stdio,fclose,add,a2,bucket_ptrs,cflags,t1,n3,16,passed_verification,generate,ranked,npb3,used,endif,ranking,test,17148,x1,seq,def,determine,ks,tests,array,untimed,fopen,n2,printf,indexes,vals,r23,mod,start,execution,23,r46,pages,19,make,arrays,sort,char,argc,27,fp,21,key,register,clear,11698,nadditional,18,parts,clinkflags,end,partial,3f,making,seed,accumulative,keys,total,randlc,20,timer_read,information,sorted,processors,bucket_size,25,observe,maximum,61147,valid,sorting,clink,operation,niter,null,argv,31,t46,ser,obtain,verification,timer_clear,occurs,say,verif,1249,load,timer_start,64,t4,4431,printout,46,346,void,t3,17523,t23,info,long,print,41869,tables,guarantee,10244,counter,t_percent,266290,00,59149,133525895,reassigned,123928,5336171,875723,898999,812306,different,21736814,final,104,72999161,65463,23627,finally,count,64917,global,proper,verify,individual,file,26860214,8388264,number,1317351170,2f,sizes,respective,additional,1043896,free,successively,1048018,2112377,33135281,50,cases,bucket,size,nas,necessary,357773,8288932,appropriate,2145192618,interation,3642833,differently,case,break,1039987,timers,mult,timer_on,parallel,44172927,x2,timer_stop,129606274,133997595,1978098519,314159265,36538729,copy,timer,local,t2,work,1220703125,62548,copies,18232239,48427,changing,1503301535,995930646,99,population,5102857,confirm,return,flag,subsequent,662041,1157283250,74326391,shift,2147425337,934767,100,33422937,882988,switch,random,404505,change,correctly,mops,shifted,1453734525,1000000,failed,incorrectly,double,4250760,probably,timecounter,slows,timing,time"
Lulesh,"copyright,livermore,source,pfy6,warranties,warranty,pfy7,collectdomainnodestoelemnodes,pfy1,security,pfy5,permitted,pfy2,pbvc,pfy0,contributors,pfy4,org,volume13,permission,pfy3,documentation,calcmonotonicqgradientsforelems,disclosed,calcpressureforelems,calcforcefornodes,cbrtf,h03,domain,http,allowable,rights,pfx7,pfx6,liability,calcqforelems,pfx5,dz63,calcvelocityfornodes,calchydroconstraintforelems,dx63,contract,dz64,111111e,bcs,dz61,pfx1,disclaimer,licenses,allow,evaleosforelems,dx64,opensource,calccourantconstraintforelems,cbrtl,pfx0,fb,n5si2,pfx4,pfy,pfx3,liable,trademark,pfx2,h02,461231,nd5i,dx61,calcenergyforelems,calcvolumeforceforelems,eta_p_free,07na27344,provided,comphalfstep,dy64,dz57,nd6i,nd7i,dz72,cbrt,numnodebc,fjxet,h01,h00,dx72,hgfx,file,updatevolumesforelems,calcmonotonicqforelems,dy50,link,dz14,dz31,dx57,applymaterialpropertiesforelems,dy63,elemement,volinv,n6si2,948746e,n1si2,bsd,n7si2,numnodesperelem,pfx,dz43,cjxet,pfz7,fjxze,pfz6,refdens,dz50,nd2i,authors,dx31,holders,calcfbhourglassforceforelems,pfz1,i03,pnewc,64,dy61,release,dy31,procurement,ac52,dy57,access,dz70,volumes,n0si2,version,n5,n7,infringe,pfz5,n6,fp,included,n3si2,responsibility,dx50,private,allows,dy14,n4si2,dy72,n2si2,determ,hgcoef,nd3i,llnl,dx43,calcaccelerationfornodes,jacobian,runnable,noted,cjxze,bcmask,nd0i,elembc,fjxxi,declaration,volumeerror,cofactors,fprintf,dz25,eta_p,placeholder,2010,cjyxi,0x030,pfz2,dx70,dzddx,dx14,required,pfz0,bvc,nd4i,dyddx,hydro_elem,privately,eta_m_free,contributions,vdov,hydro,delvxeta,pmin,voluder,nd1i,printf,reference,wb,copy,pfz3,initstresstermsforelems,endorsement,dy70,dy43,calcelemcharacteristiclength,pfz4,allocatenodesets,n2,negligence,public,vchalf,llc,calckinematicsforelems,dx25,calcmonotonicqregionforelems,www,distribution,dz20,require,n3,stdlib,m_dtcourant,dxv,m_dthydro,manufacturer,indx,allocateelempersistent,ssc,owned,0x004,phalfstep,dy25,pfz,allocatenodalpersistent,0xc00,dxddz,ss1,m_elembc,hgfz,dxi,deviatoric,delxj,dthydro,tolerance,bisectx0,fjzxi,m_hgcoef,col,sumelemfacenormal,fclose,01,requires,m_nodelist,merchantability,n4,error,n1,c1s,produced,numelem8,vdovthird,i01,cache,box,totalabsdiff,sumelemstressestonodeforces,dzk,integer,bisectx1,lnode,__attribute__,lxim,llns,calcforce,limited,cjzze,dzi,quantities,including,disclaimed,idx,i02,prevent,dtdvov,0x003,cjxxi,6f,fjzze,modification,dtf,endorse,include,sigxx,numelems,dvdx,0x00c,calcelemfbhourglassforce,m_letap,information,delvc,targetdt,dxj,block,strict,temporaries,mass1,national,dvdy,hgfy,333333e,dx20,product,qqc2,ielem,vnewc,m_sizex,dvdz,n0,redistributions,software,bisectz1,0e,xv6,i00,redistribution,stdio,deposit,constitute,written,6e,fjyxi,nelapsed,purposes,absdiff,fy,xv7,zeta_p_free,damages,update,belytschko,dzv,eta_p_symm,0x008,fz,zv1,implementation,0x010,0x002,charlength,dy20,ds,asc,delxk,sstmp,enewc,vnew,free,zv2,fopen,m_monoq_limiter_mult,ss4o3,constraint,bisectz0,commnodes,need,cjyze,allocateelemtemporary,lxip,fy_local,delx_eta,needed,hexahedral,numelem,xv5,lawrence,iz,typename,xi_p_free,m_elemmass,eta_m,cjzxi,0x080,temporary,tmpv,dxddy,dxk,extent,xv2,elemx,xdtmp,vc,planeinc,12,determinant,retain,calcelemnodenormals,integratestressforelems,hourmodx,zv5,localnode,numnode,calclagrangeelements,1e,yv7,yv6,m_fx,dzz,zv0,zv7,qlc_monoq,delvxxi,dvovmax,commsbn,volume,m_delx_eta,symmy,laboratory,nidx,y7,derivatives,i2,void,bytes,delx_xi,monoq_limiter_mult,zv6,m_ss4o3,0x040,density,real8,x6,out_file,zv3,support,names,dtcourant,calcelemshapefunctionderivatives,elemnodes,subscript,calcsoundspeedforelems,expose,m_delv_xi,storage,m_delx_xi,fjzet,creation,elemset,cjzet,conditions,zv4,notice,ydd,0x300,xdd,newdt,department,0x001,m_delv_eta,typedef,m_vdov,fabsf,applyaccelerationboundaryconditionsfornodes,m_eosvmin,xv1,sigzz,m_delv,y6,m_fy,monoq,calchourglasscontrolforelems,maxabsdiff,yv5,courant,125,elemmass,ss,az,dzj,0x0c0,binary,viscosity,xv3,dxx,courant_elem,nodal,phieta,material,bisecty0,vol,calcpositionfornodes,tx,m_lxim,monotonic,products,possibility,zeta_m_free,delxi,nodelist,bulk,25,m_qqc_monoq,elemtonode,norm,i1"
STREAM,"clustering,clustersize,copyright,cluster,clusters,resource,pkmedian,streamcluster,include,copycenters,member,contcenters,pkmedian_arg_t,pthread_cond_initializer,members,kmax,deng,byte,comparator,online,authors,pthread_cond_broadcast,is_a_median,version,membership,memoryfloat,stdlib,__parsec_roi_end,join,algorithm,accumweight,stream,jia,structure,main,const,dest,randomize,aggregate,consistancy,simstream,randomization,localsearchsub,__parsec_roi_begin,list,iterations,10,selectfeasible_fast,p1,kmedian,__parsec_streamcluster,idoffset,free,limits,chunksize,coninuation,kcenter,pthread_mutex_initializer,deallocate,public,entire,cache_aligned_allocator,outcenterids,numcenters,init,2008,bsize,bottleneck,kfinal,memory,struct,pstream,parallelized,iteration,feasible,pgain,allowed,int_max,pthread_cond_t,sizeof,totalcost,memoryint,fields,gl_number_of_centers_to_close,memorypoint,iostream,allocate,tbb_version,copy,pfl,dimension,dimensionality,k1,assignment,memorylong,fstream,index,data,fact,chunk,cond,memorybool,maxnamesize,global,savemoney,stdio,dimensions,copying,proc_number_of_centers_to_close,num,filestream,extra,localsearch,continuation,table,memset,coord,working_mem,rb,threads,class,tgl_number_of_centers_to_close,infile,intshuffle,tbb_stealer,savemoneytask,complete,enable_parsec_hooks,lf,08x,numfeasible,relative,field,university,grain_size,center_table,relweight,p2,search,switch_membership,iter,pthread_barrier_destroy,cl,build,iterate,__parsec_bench_begin,local_total,sample,pthread_join,fprintf,__parsec_bench_end,gl_lower,guarantee,benchmark,facilities,stderr,hpp,assign,int,fopen,contreras,multiple,loz,quantity,nproc,num_divisions,fflush,parsec_version,local_number_of_centers_to_close,centersize,work_mem,need,hizreduction,reasonable,reducing,pthread_mutex_unlock,pthread_barrier_init,continue,save,tcenter_table,large,total,atoi,mem,mutex,occ_stealer,parsec_barrier,facility,printf,synthetic,k2,accordingly,floatcomp,centers,rhs,argc,centerids,number_of_centers_to_close,fp,kmin,solution,updated,necessary,following,parallel_reduce,intermediate,estimate,pthread_mutex_lock,sp,cache_line,memcpy,use,1024,allocate_child,is_continuation,lhs,endif,program,binary,using,divisions,reserved,reading,hizs,is_center,centertablecounttask,intarray,accounted,tells,file,outfile,scales,note,id,isn,rights,ptdimension,assigning,pthread_mutex_t,true,read,argv,master,realize,delete,fl,bool,loopa,open,tbb,thread,type,ii,approximate,center,assigned,gilberto,points_,ve,parallel,assert,arg_,points,strcpy,typedef,considered,random,malloc,accum,space,point,usage,princeton,parsec,size_t,given,cache,block,likely,sys,kk,integers,exceeds,tmp,gl_cost_of_opening_x,fclose,store,error,closer,compute,infilename,task_list,centerblock,designate,avoid,task_scheduler_init,32,ll,end,local,sequential,reduce,order,serial_fixcenter,private,lrand48,srand48,create,dist,pthread_barrier_t,suite,allocate_root,reassignment,std,centertablecount,increasing,clear,indicates,randomly,001,max,mark,log,generated,median,proc_cost_of_opening_x,length,location,arg,finally,calcuate,centeropen,outfilename,accurate,set_ref_count,mytotal,pthread_create,parallel_for,euclidean,speedy,ifdef,consider,dim,blocked_range,creates,isidentical,improvement,tgl_cost_of_opening_x,clean,saves,assumes,pid,split,unless,enable_threads,probability,pspeedy,close_center,recycle_as_continuation,acc_cost,code,n_,loopb,assume,step,saved,setting,just,fine,task,helps,new,local_cost_of_opening_x,working,filename,values,to_open,floating,gethiz,does,shuffle,pthread_cond_wait,finish,actual,increase,maximum,make,runs,hiz,reduction,totalweight,send,running,input,notify,long,centerclose,run,z_,times,virtual,myhiz,unsigned,ignore,reassigning,equal,identical,routine,barrier,starting,line,cheap,numread,numberofpoints,good,represent,begin,namespace,feof,proper,little,situation,range,higher,float,loopc,fixcenter,opening,represents,difficult,fread,longer,squared,weight,static,calloc,count,define,fixcentertask,lastcost,seed,repetitions,high,linearly,correct,temp,real,opened,0x,positions,called,pthread_t,decide,centerclosetask,number,gets,total_cost,chances,subtract,pthread,999,math,takes,cleaning,low,cost_of_opening_x,perform,building,don,centercreate,expensive,seeded,lowercosttask,operation,reassigned,stride,__parsec_string,hooks,ferror,x_,close,try,numbers,ups,array,speed,decrease,false,reflect,double,stop,break,result,distance,__parsec_xstring,measure,offset,gain,change,costs"
