BenchMark,Obs_SDC,PARIS_SDC,Obs_SDC_Norm,PARIS_SDC_Norm,Predicted Label,Actual Label,wordCount
MG,0.008,0.009,0.0,0.035,0.218,0.0,4249
Backprop,0.016,0.111,0.027,0.43,0.265,0.027,1409
Myocyte,0.022,0.023,0.047,0.089,0.231,0.047,810
Kmeans,0.045,0.093,0.124,0.36,0.237,0.124,575
DC,0.06,0.0,0.174,0.0,0.255,0.174,656
STREAM,0.066,0.194,0.195,0.752,0.219,0.195,6503
IS,0.083,0.103,0.252,0.399,0.231,0.252,1807
PuReMD,0.09,0.021,0.275,0.081,0.22,0.275,2267
Lulesh,0.12,0.258,0.376,1.0,0.227,0.376,11922
Hotspot,0.121,0.116,0.379,0.45,0.219,0.379,1372
Blackscholes,0.122,0.203,0.383,0.787,0.225,0.383,1467
Bfs-rodinia,0.124,0.048,0.389,0.186,0.223,0.389,425
CG,0.139,0.147,0.44,0.57,0.225,0.44,2660
Nw,0.14,0.185,0.443,0.717,0.228,0.443,335
Lud,0.142,0.135,0.45,0.523,0.233,0.45,360
BT,0.164,0.252,0.523,0.977,0.219,0.523,5743
Nn,0.173,0.0,0.554,0.0,0.229,0.554,408
LU,0.174,0.15,0.557,0.581,0.243,0.557,359
Pathfinder,0.231,0.055,0.748,0.213,0.228,0.748,335
SP,0.306,0.255,1.0,0.988,0.219,1.0,4981